(5089.16, 5089.16, 5089.23, 5089.22, 1769413620)
(5088.95, 5088.95, 5090.63, 5090.63, 1769413680)
(5092.13, 5092.13, 5092.56, 5092.41, 1769413800)
(5092.34, 5092.34, 5092.52, 5092.47, 1769413860)
(5092.39, 5091.62, 5092.47, 5091.62, 1769413920)
(5091.9, 5091.78, 5093.63, 5093.05, 1769414040)
(5093.09, 5091.32, 5093.16, 5092.12, 1769414100)
(5092.14, 5092.11, 5092.35, 5092.35, 1769414160)
(5092.25, 5092.1, 5092.42, 5092.14, 1769414220)
(5091.81, 5090.12, 5092.12, 5090.12, 1769414280)
(5089.78, 5089.73, 5089.78, 5089.73, 1769414400)
(5089.81, 5089.74, 5092.81, 5091.76, 1769414460)
(5091.72, 5091.72, 5094.03, 5094.03, 1769414520)
(5093.75, 5093.75, 5095.48, 5095.48, 1769414580)
(5095.33, 5095.04, 5095.44, 5095.04, 1769414640)
(5094.95, 5093.16, 5094.98, 5093.16, 1769414760)
(5092.74, 5091.45, 5093.12, 5091.45, 1769414820)
(5091.44, 5091.2, 5091.55, 5091.27, 1769414880)
(5091.33, 5091.28, 5091.7, 5091.68, 1769414940)
(5091.7, 5090.16, 5091.78, 5090.82, 1769415000)
(5090.52, 5090.52, 5092.56, 5092.56, 1769415060)
(5092.54, 5092.54, 5094.39, 5094.05, 1769415120)
(5093.96, 5093.96, 5094.35, 5094.26, 1769415180)
(5093.99, 5093.99, 5095.85, 5095.85, 1769415240)
(5095.85, 5095.85, 5096.39, 5096.39, 1769415300)
(5096.29, 5096.23, 5096.42, 5096.25, 1769415360)
(5096.19, 5096.19, 5096.56, 5096.56, 1769415420)
(5096.54, 5096.53, 5096.68, 5096.68, 1769415480)
(5096.52, 5096.52, 5096.9, 5096.9, 1769415540)
(5096.92, 5096.86, 5096.98, 5096.98, 1769415600)
(5096.94, 5096.09, 5097.09, 5096.45, 1769415660)
(5096.38, 5096.06, 5096.41, 5096.06, 1769415720)
(5095.93, 5095.93, 5096.16, 5096.03, 1769415780)
(5096.08, 5096.07, 5096.84, 5096.84, 1769415840)
(5096.77, 5096.77, 5097.19, 5097.06, 1769415900)
(5097.03, 5097.03, 5097.16, 5097.04, 1769415960)
(5097.03, 5097, 5097.1, 5097.1, 1769416020)
(5096.97, 5096.97, 5097.22, 5097.15, 1769416080)
(5097.16, 5097.11, 5097.2, 5097.2, 1769416140)
(5097.13, 5096.56, 5097.31, 5096.79, 1769416200)
